"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description"
"s2340","Movie","Prem Ratan Dhan Payo","Sooraj R. Barjatya","Salman Khan, Sonam Kapoor, Anupam Kher, Neil Nitin Mukesh, Sanjay Mishra, Swara Bhaskar, Deepak Dobriyal, Arman Kohli, Manoj Joshi, Samaira Rao, Karuna Pandey, Sucheta Khanna","India","June 25, 2020",2015,"TV-14","164 min","Action & Adventure, Dramas, International Movies","While recovering from an assassination attempt four days prior to his coronation, a stern prince is replaced by a joyful and generous doppelgänger."
"s2757","Movie","Paharganj","Rakesh Ranjan Kumar","Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh, Karran Jeet, Rajesh Sharma, Gautam Kurup, Poonam Mathur, Salman Khan, Manish Devkush","India","March 31, 2020",2019,"TV-MA","107 min","Dramas, Independent Movies, International Movies","In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons."
